timestamp,duration_seconds
2025-12-05T23:14:49.893851,58.57
2025-12-05T23:20:50.333533,60.43
2025-12-05T23:26:44.788922,54.45
2025-12-05T23:32:47.479476,62.69
2025-12-05T23:38:41.797556,54.31
2025-12-05T23:44:34.645575,52.84
2025-12-05T23:50:28.545542,53.89
2025-12-05T23:56:23.073952,54.52
2025-12-06T00:02:20.319970,57.23
2025-12-06T00:08:24.183876,63.85
2025-12-06T00:14:19.038401,54.84
2025-12-06T00:20:13.027574,53.98
2025-12-06T00:26:07.457619,54.42
2025-12-06T00:32:06.015091,58.55
2025-12-06T00:38:00.967230,54.95
2025-12-06T00:43:54.310397,53.34
2025-12-06T00:49:50.796915,56.48
2025-12-06T00:55:49.352117,58.55
2025-12-06T01:01:46.101678,56.74
2025-12-06T01:07:39.563398,53.46
2025-12-06T01:13:36.487177,56.92
2025-12-06T01:19:37.559342,61.07
2025-12-06T01:25:37.773353,60.21
2025-12-06T01:31:37.768216,59.99
2025-12-06T01:37:29.959700,52.19
2025-12-06T01:43:31.600168,61.63
2025-12-06T01:49:32.736756,61.13
2025-12-06T01:55:33.100392,60.35
2025-12-06T02:01:32.754648,59.65
2025-12-06T02:07:32.842418,60.08
2025-12-06T02:13:28.699495,55.85
2025-12-06T02:19:23.980021,55.27
2025-12-06T02:25:23.637910,59.65
2025-12-06T02:31:19.997532,56.35
2025-12-06T02:52:22.368494,55.53
2025-12-06T02:58:23.993246,61.61
2025-12-06T03:04:21.034811,57.03
2025-12-06T03:10:19.434400,58.39
2025-12-06T03:16:18.579422,59.13
2025-12-06T03:22:17.224109,58.64
2025-12-06T03:28:17.227804,59.99
2025-12-06T03:34:15.465971,58.23
2025-12-06T03:40:15.361176,59.88
2025-12-06T03:46:12.725024,57.35
2025-12-06T03:52:10.124406,57.39
2025-12-06T03:58:10.321994,60.19
2025-12-06T04:04:09.540427,59.21
2025-12-06T04:25:54.596250,60.60
2025-12-06T04:31:48.016518,53.41
2025-12-06T04:37:38.741063,50.71
2025-12-06T04:43:40.164791,61.41
2025-12-06T04:49:37.846029,57.67
2025-12-06T04:55:33.303629,55.45
2025-12-06T05:01:34.115473,60.80
2025-12-06T05:07:31.090706,56.97
2025-12-06T05:13:28.453322,57.35
2025-12-06T05:19:18.503436,50.04
2025-12-06T05:25:11.163342,52.65
2025-12-06T05:31:04.676064,53.50
2025-12-06T05:36:54.856914,50.17
2025-12-06T05:42:55.958644,61.09
2025-12-06T06:32:39.019543,838.64
2025-12-06T06:38:36.410637,57.38
2025-12-06T06:44:33.459272,57.04
2025-12-06T06:50:31.122510,57.65
2025-12-06T06:56:29.499679,58.37
2025-12-06T07:02:27.526277,58.02
2025-12-06T07:08:26.489172,58.95
2025-12-06T07:14:23.973295,57.47
2025-12-06T07:20:22.940719,58.96
2025-12-06T07:26:21.018095,58.07
2025-12-06T07:32:19.906262,58.88
2025-12-06T07:53:10.285065,950.37
2025-12-06T07:59:09.974286,59.68
2025-12-06T08:05:07.690149,57.71
2025-12-06T08:11:07.670952,59.97
2025-12-06T08:17:06.056828,58.37
2025-12-06T08:23:04.767003,58.70
2025-12-06T08:29:01.603539,56.83
2025-12-06T08:34:59.733623,58.12
2025-12-06T08:40:57.148466,57.40
2025-12-06T08:46:55.743651,58.58
2025-12-06T08:52:51.743609,55.99
2025-12-06T08:58:51.938887,60.18
2025-12-06T09:04:52.104803,60.16
2025-12-06T09:10:51.457325,59.34
2025-12-06T09:16:49.825371,58.36
2025-12-06T09:22:48.166038,58.33
2025-12-06T09:28:45.654392,57.48
2025-12-06T09:34:43.877166,58.21
2025-12-06T09:40:41.952551,58.06
